City,Population,Violent Crime,Murder,Rape,Robbery,Aggravated Assault,Property Crime,Burglary,Larceny-theft,Motor Vehicle Theft,Arson
Aberdeen Township,18562,18,0,2,5,11,147,33,106,8,0
Absecon,8298,8,0,0,2,6,242,33,203,6,0
Allendale,6849,1,0,0,0,1,37,9,26,2,0
Allenhurst,490,0,0,0,0,0,16,1,15,0,0
Allentown,1824,1,0,0,0,1,9,3,6,0,0
Alpha,2291,1,0,0,0,1,15,3,11,1,1
Alpine,1918,0,0,0,0,0,9,2,6,1,0
Andover Township,5979,6,0,0,0,6,35,2,29,4,0
Asbury Park,15757,223,2,7,101,113,723,145,557,21,4
Atlantic Highlands,4297,3,0,0,1,2,34,4,30,0,0
Audubon,8669,5,0,0,3,2,348,54,290,4,0
Audubon Park,1004,0,0,0,0,0,15,5,10,0,0
Avalon,1273,3,0,0,0,3,191,30,159,2,0
Avon-by-the-Sea,1774,0,0,0,0,0,30,7,22,1,0
Barnegat Light,575,0,0,0,0,0,4,0,4,0,0
Barnegat Township,22272,19,0,2,2,15,129,21,103,5,2
Barrington,6752,5,0,2,2,1,102,21,76,5,0
Bay Head,971,2,0,0,0,2,13,4,6,3,0
Bayonne,66629,147,2,10,56,79,743,93,599,51,3
Beach Haven,1168,1,0,0,0,1,86,4,82,0,0
Beachwood,11219,8,0,1,4,3,126,15,107,4,1
Bedminster Township,8239,0,0,0,0,0,33,7,23,3,0
Belleville,36258,62,0,3,32,27,600,93,419,88,1
Bellmawr,11380,14,0,1,10,3,274,45,222,7,2
Belmar,5694,16,0,1,3,12,176,12,159,5,1
Belvidere,2593,0,0,0,0,0,88,54,30,4,0
Bergenfield,27646,8,1,0,2,5,99,16,79,4,0
Berkeley Heights Township,13548,1,0,1,0,0,89,8,73,8,0
Berkeley Township,41684,58,0,3,13,42,432,99,323,10,1
Berlin,7544,14,0,1,3,10,136,30,100,6,0
Berlin Township,5419,6,0,1,5,0,253,24,226,3,1
Bernards Township,27024,0,0,0,0,0,94,7,79,8,0
Bernardsville,7802,2,0,0,0,2,61,7,48,6,0
Beverly,2555,21,1,0,11,9,52,17,31,4,1
Blairstown Township,5791,1,0,0,0,1,26,12,13,1,0
Bloomfield,48215,64,0,0,31,33,805,78,625,102,0
Bloomingdale,8290,6,0,1,3,2,36,7,28,1,0
Bogota,8397,1,0,0,0,1,47,3,37,7,0
Boonton,8414,7,0,1,2,4,78,8,66,4,0
Boonton Township,4359,7,0,3,0,4,12,5,6,1,0
Bordentown City,3873,2,0,0,1,1,13,3,10,0,0
Bordentown Township,12049,12,0,5,4,3,107,26,77,4,0
Bound Brook,10494,12,0,0,8,4,127,33,88,6,0
Bradley Beach,4261,6,0,0,3,3,79,7,72,0,0
Branchburg Township,14676,8,2,0,0,6,65,6,58,1,0
Brick Township,74818,71,0,11,18,42,1059,180,861,18,1
Bridgeton,24982,225,4,13,113,95,952,269,649,34,5
Bridgewater Township,45251,15,0,1,9,5,412,53,348,11,0
Brielle,4753,0,0,0,0,0,22,3,19,0,0
Brigantine,9156,1,0,1,0,0,161,35,126,0,1
Brooklawn,1919,20,0,4,8,8,209,34,167,8,0
Buena,4520,19,0,4,7,8,77,21,54,2,1
Burlington City,9785,52,2,1,23,26,220,55,153,12,1
Burlington Township,22867,25,2,6,7,10,343,50,277,16,1
Butler,7691,14,0,1,1,12,67,21,45,1,0
Byram Township,7969,1,0,0,0,1,26,5,21,0,0
Caldwell,7933,6,0,1,1,4,33,7,23,3,0
Califon,1081,0,0,0,0,0,2,0,2,0,0
Cape May,3496,6,0,6,0,0,107,13,94,0,0
Cape May Point,279,0,0,0,0,0,0,0,0,0,0
Carlstadt,6277,10,1,0,3,6,129,4,99,26,0
Carney's Point Township,7809,27,0,7,12,8,175,42,123,10,2
Carteret,24316,38,3,2,17,16,243,39,175,29,0
Cedar Grove Township,12603,3,0,0,3,0,100,18,75,7,0
Chatham,8954,3,0,0,1,2,43,6,33,4,0
Chatham Township,10555,3,0,0,1,2,42,4,35,3,0
Cherry Hill Township,71079,92,1,2,49,40,1949,216,1678,55,1
Chesilhurst,1626,8,0,0,1,7,42,19,19,4,0
Chester,1671,0,0,0,0,0,16,1,12,3,0
Chesterfield Township,7534,2,0,0,0,2,23,2,20,1,0
Chester Township,7940,4,0,3,0,1,31,9,21,1,0
Cinnaminson Township,16871,25,0,3,7,15,305,38,258,9,0
Clark Township,15609,4,0,0,1,3,177,2,169,6,0
Clayton,8511,7,0,1,4,2,159,35,121,3,1
Clementon,4913,14,0,1,9,4,169,59,104,6,1
Cliffside Park,24977,27,0,1,2,24,183,21,155,7,1
Clifton,86324,202,0,7,83,112,1308,202,991,115,1
Clinton,2645,4,0,1,0,3,27,4,21,2,0
Clinton Township,12933,1,0,0,0,1,42,9,32,1,0
Closter,8674,2,1,1,0,0,34,6,27,1,0
Collingswood,13943,26,1,3,10,12,391,103,265,23,2
Colts Neck Township,10018,5,0,1,0,4,62,14,45,3,0
Cranbury Township,3958,2,0,0,0,2,34,3,30,1,0
Cranford Township,24324,7,0,0,3,4,174,20,149,5,2
Cresskill,8815,2,0,0,1,1,29,7,22,0,0
Deal,735,1,0,0,0,1,32,9,23,0,0
Delanco Township,4592,5,0,0,4,1,97,22,68,7,0
Delaware Township,4478,1,0,0,0,1,12,7,5,0,1
Delran Township,16739,16,1,6,3,6,262,38,214,10,0
Demarest,5051,1,0,0,0,1,21,4,15,2,0
Denville Township,16759,3,0,0,2,1,81,14,62,5,0
Deptford Township,30400,61,0,7,30,24,1170,193,943,34,5
Dover,18290,34,0,3,16,15,226,43,168,15,0
Dumont,18010,3,0,0,0,3,95,13,80,2,0
Dunellen,7434,0,0,0,0,0,55,5,44,6,0
Eastampton Township,6005,6,0,3,2,1,65,12,49,4,0
East Brunswick Township,49016,23,0,1,11,11,725,71,646,8,5
East Greenwich Township,10473,4,0,1,0,3,47,16,31,0,0
East Hanover Township,11233,2,0,0,2,0,132,5,116,11,0
East Newark,2707,0,0,0,0,0,34,2,31,1,0
East Orange,64787,437,6,22,179,230,898,205,462,231,10
East Rutherford,9166,7,0,0,0,7,107,8,87,12,0
East Windsor Township,27537,17,1,3,3,10,227,32,190,5,1
Eatontown,12264,39,0,3,17,19,401,34,363,4,0
Edgewater,12079,4,0,1,1,2,141,12,128,1,0
Edgewater Park Township,8769,21,0,1,9,11,165,38,114,13,0
Edison Township,102679,104,0,7,37,60,1088,165,844,79,1
Egg Harbor City,4238,13,0,0,4,9,131,41,86,4,0
Egg Harbor Township,43971,86,1,13,21,51,746,166,555,25,5
Elizabeth,129096,1054,5,33,528,488,4134,730,2536,868,5
Elk Township,4122,2,0,0,1,1,65,22,40,3,0
Elmer,1334,0,0,0,0,0,8,1,5,2,0
Elmwood Park,20348,45,0,0,23,22,328,37,278,13,0
Elsinboro Township,990,2,0,1,0,1,13,4,9,0,0
Emerson,7716,2,0,0,0,2,44,1,43,0,0
Englewood,28677,61,0,8,19,34,325,47,267,11,0
Englewood Cliffs,5397,1,0,0,0,1,44,26,16,2,0
Englishtown,1979,2,0,0,0,2,43,6,35,2,0
Essex Fells,2157,0,0,0,0,0,12,0,9,3,0
Evesham Township,45581,32,0,3,13,16,661,79,559,23,3
Ewing Township,36435,72,2,13,36,21,660,121,511,28,3
"Fairfield Township, Essex County",7561,5,0,0,0,5,172,10,146,16,1
Fair Haven,6010,1,0,0,1,0,40,2,38,0,1
Fair Lawn,33646,25,3,3,9,10,437,63,353,21,3
Fairview,14497,15,0,1,10,4,118,26,83,9,0
Fanwood,7677,3,0,0,3,0,54,12,41,1,0
Far Hills,930,0,0,0,0,0,9,4,3,2,0
Fieldsboro,531,0,0,0,0,0,8,3,5,0,0
Flemington,4654,8,0,1,1,6,65,10,55,0,0
Florence Township,12805,19,1,5,4,9,83,29,47,7,0
Florham Park,11794,7,0,4,0,3,100,12,80,8,0
Fort Lee,36739,37,0,5,7,25,259,50,199,10,1
Franklin,4814,6,0,0,0,6,67,3,63,1,0
Franklin Lakes,10902,5,0,0,3,2,75,13,56,6,0
"Franklin Township, Gloucester County",16551,10,1,0,4,5,193,75,106,12,0
"Franklin Township, Hunterdon County",3237,1,0,0,0,1,16,0,16,0,0
"Franklin Township, Somerset County",66791,62,1,10,37,14,791,190,570,31,2
Freehold Borough,11941,22,0,0,8,14,118,26,90,2,0
Freehold Township,35736,45,0,2,8,35,610,54,550,6,0
Frenchtown,1389,0,0,0,0,0,11,0,11,0,0
Galloway Township,37280,90,0,5,14,71,591,168,408,15,3
Garfield,31895,89,0,8,41,40,580,82,462,36,0
Garwood,4352,1,0,0,0,1,65,11,54,0,0
Gibbsboro,2228,1,0,1,0,0,32,8,23,1,0
Glassboro,19245,34,0,0,22,12,385,96,272,17,0
Glen Ridge,7647,4,0,0,3,1,158,46,110,2,0
Glen Rock,12014,1,0,0,0,1,74,2,70,2,0
Gloucester City,11247,16,1,0,4,11,278,54,204,20,1
Gloucester Township,63484,87,1,8,23,55,1036,171,822,43,0
Green Brook Township,7266,3,0,0,1,2,73,15,51,7,1
"Greenwich Township, Gloucester County",4824,3,0,0,1,2,82,5,76,1,0
"Greenwich Township, Warren County",5527,1,0,0,0,1,72,5,65,2,1
Guttenberg,11701,14,0,1,0,13,87,18,62,7,1
Hackensack,44968,88,0,8,21,59,693,50,593,50,0
Hackettstown,9549,8,0,0,2,6,94,14,77,3,0
Haddonfield,11323,2,0,0,0,2,191,28,161,2,0
Haddon Heights,7482,5,0,0,1,4,72,18,50,4,2
Haddon Township,14439,18,0,0,8,10,391,85,286,20,0
Haledon,8432,29,0,0,13,16,171,33,126,12,0
Hamburg,3131,2,0,0,0,2,17,3,14,0,2
"Hamilton Township, Atlantic County",26824,38,2,1,8,27,935,128,780,27,5
"Hamilton Township, Mercer County",88665,162,1,10,85,66,1516,320,1108,88,5
Hammonton,14585,16,0,1,1,14,170,59,104,7,1
Hanover Township,14468,12,0,3,7,2,176,19,151,6,0
Harding Township,3900,0,0,0,0,0,28,13,12,3,0
Hardyston Township,7991,5,0,1,0,4,63,17,42,4,0
Harrington Park,4830,1,0,0,0,1,9,1,8,0,0
Harrison,15788,41,0,0,23,18,355,55,252,48,0
Harrison Township,13023,7,0,2,1,4,92,34,56,2,2
Harvey Cedars,340,0,0,0,0,0,14,0,14,0,0
Hasbrouck Heights,12239,7,0,0,2,5,72,5,67,0,0
Haworth,3469,2,0,0,0,2,15,2,13,0,0
